Age,age group,Attrition,Business Travel,Department,Distance From Home,Education,Education Field,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,attrition yes,Daily Rate,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
42,40 - 49,No,Travel_Rarely,Sales,8,Master,Marketing,35,Male,Sales Executive,Married,No,Y,2,0,691,1,3,48,3,2,Medium,6825,21173,0,11,3,4,80,1,10,3,9,7,4,2
44,40 - 49,No,Travel_Rarely,Research & Development,7,Master,Medical,36,Female,Healthcare Representative,Married,No,Y,4,0,477,1,1,42,2,3,Very High,10248,2094,3,14,3,4,80,1,24,3,22,6,5,17
46,40 - 49,No,Travel_Rarely,Sales,2,Master,Marketing,38,Female,Manager,Single,No,Y,2,0,705,1,2,83,3,5,Low,18947,22822,3,12,3,4,80,0,22,2,2,2,2,1
33,30 - 39,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,39,Male,Laboratory Technician,Single,No,Y,3,0,924,1,3,78,3,1,Very High,2496,6670,4,11,3,4,80,0,7,3,1,1,0,0
44,40 - 49,No,Travel_Rarely,Research & Development,10,Master,Other,40,Male,Healthcare Representative,Married,Yes,Y,5,0,1459,1,4,41,3,2,Very High,6465,19121,2,13,3,4,80,0,9,4,4,2,1,3
30,30 - 39,No,Travel_Rarely,Research & Development,9,College,Medical,41,Male,Laboratory Technician,Single,No,Y,5,0,125,1,4,83,2,1,High,2206,16117,1,13,3,1,80,0,10,3,10,0,1,8
39,30 - 39,Yes,Travel_Rarely,Sales,5,Bachelor,Technical Degree,42,Male,Sales Representative,Married,No,Y,6,1,895,1,4,56,3,2,Very High,2086,3335,3,14,3,3,80,1,19,4,1,0,0,0
24,18-29,Yes,Travel_Rarely,Research & Development,1,Bachelor,Medical,45,Male,Research Scientist,Married,Yes,Y,2,1,813,1,2,61,3,1,Very High,2293,3020,2,16,3,1,80,1,6,2,2,0,2,0
43,40 - 49,No,Travel_Rarely,Research & Development,2,College,Medical,46,Female,Research Scientist,Divorced,No,Y,3,0,1273,1,4,72,4,1,High,2645,21923,1,12,3,4,80,2,6,2,5,3,1,4
50,50 - 59,Yes,Travel_Rarely,Sales,3,College,Marketing,47,Male,Sales Representative,Married,Yes,Y,2,1,869,1,1,86,2,1,High,2683,3810,1,14,3,3,80,0,3,3,3,2,0,2
35,30 - 39,No,Travel_Rarely,Sales,2,Bachelor,Marketing,49,Female,Sales Representative,Married,No,Y,3,0,890,1,4,97,3,1,Very High,2014,9687,1,13,3,1,80,0,2,3,2,2,2,2
36,30 - 39,No,Travel_Rarely,Research & Development,5,Master,Life Sciences,51,Female,Research Scientist,Married,Yes,Y,3,0,852,1,2,82,2,1,Low,3419,13072,9,14,3,4,80,1,6,4,1,1,0,0
33,30 - 39,No,Travel_Frequently,Sales,1,Bachelor,Life Sciences,52,Female,Sales Executive,Married,No,Y,3,0,1141,1,3,42,4,2,Low,5376,3193,2,19,3,1,80,2,10,3,5,3,1,3
35,30 - 39,No,Travel_Rarely,Research & Development,4,College,Other,53,Male,Laboratory Technician,Divorced,No,Y,3,0,464,1,3,75,3,1,Very High,1951,10910,1,12,3,3,80,1,1,3,1,0,0,0
27,18-29,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,54,Female,Laboratory Technician,Divorced,No,Y,6,0,1240,1,4,33,3,1,Low,2341,19715,1,13,3,4,80,1,1,3,1,0,0,0
26,18-29,Yes,Travel_Rarely,Research & Development,25,Bachelor,Life Sciences,55,Male,Laboratory Technician,Single,No,Y,2,1,1357,1,1,48,1,1,High,2293,10558,1,12,3,3,80,0,1,2,1,0,0,1
27,18-29,No,Travel_Frequently,Sales,8,Bachelor,Life Sciences,56,Male,Sales Executive,Single,No,Y,0,0,994,1,4,37,3,3,High,8726,2975,1,15,3,4,80,0,9,3,9,8,1,7
30,30 - 39,No,Travel_Frequently,Research & Development,1,College,Medical,57,Female,Laboratory Technician,Single,No,Y,2,0,721,1,3,58,3,2,Very High,4011,10781,1,23,4,4,80,0,12,3,12,8,3,7
41,40 - 49,Yes,Travel_Rarely,Research & Development,12,Bachelor,Technical Degree,58,Female,Research Director,Married,No,Y,0,1,1360,1,2,49,3,5,High,19545,16280,1,12,3,4,80,0,23,3,22,15,15,8
34,30 - 39,No,Non-Travel,Sales,23,Master,Marketing,60,Male,Sales Executive,Single,No,Y,2,0,1065,1,2,72,3,2,High,4568,10034,0,20,4,3,80,0,10,3,9,5,8,7
37,30 - 39,No,Travel_Rarely,Research & Development,19,College,Life Sciences,61,Male,Research Scientist,Married,No,Y,1,0,408,1,2,73,3,1,Medium,3022,10227,4,21,4,1,80,0,8,3,1,0,0,0
46,40 - 49,No,Travel_Frequently,Sales,5,Master,Marketing,62,Male,Sales Executive,Single,Yes,Y,4,0,1211,1,1,98,3,2,Very High,5772,20445,4,21,4,3,80,0,14,3,9,6,0,8
35,30 - 39,No,Travel_Rarely,Research & Development,8,Below College,Life Sciences,63,Male,Laboratory Technician,Married,No,Y,2,0,1229,1,4,36,4,1,Very High,2269,4892,1,19,3,4,80,0,1,3,1,0,0,1
48,40 - 49,Yes,Travel_Rarely,Research & Development,1,College,Life Sciences,64,Male,Laboratory Technician,Single,Yes,Y,2,1,626,1,1,98,2,3,High,5381,19294,9,13,3,4,80,0,23,3,1,0,0,0
28,18-29,Yes,Travel_Rarely,Research & Development,5,Master,Technical Degree,65,Male,Laboratory Technician,Single,Yes,Y,3,1,1434,1,3,50,3,1,High,3441,11179,1,13,3,3,80,0,2,2,2,2,2,2
44,40 - 49,No,Travel_Rarely,Sales,1,Doctor,Marketing,68,Female,Sales Executive,Divorced,Yes,Y,2,0,1488,1,2,75,3,2,Low,5454,4009,5,21,4,3,80,1,9,2,4,3,1,3
35,30 - 39,No,Non-Travel,Research & Development,11,College,Medical,70,Male,Healthcare Representative,Married,Yes,Y,3,0,1097,1,3,79,2,3,Low,9884,8302,2,13,3,3,80,1,10,3,4,0,2,3
26,18-29,No,Travel_Rarely,Sales,23,Bachelor,Marketing,72,Female,Sales Executive,Married,Yes,Y,2,0,1443,1,3,47,2,2,Very High,4157,21436,7,19,3,3,80,1,5,2,2,2,0,0
33,30 - 39,No,Travel_Frequently,Research & Development,1,College,Life Sciences,73,Female,Research Director,Single,Yes,Y,1,0,515,1,1,98,3,3,Very High,13458,15146,1,12,3,3,80,0,15,3,15,14,8,12
35,30 - 39,No,Travel_Frequently,Sales,18,Doctor,Life Sciences,74,Male,Sales Executive,Married,No,Y,3,0,853,1,2,71,3,3,Low,9069,11031,1,22,4,4,80,1,9,2,9,8,1,8
35,30 - 39,No,Travel_Rarely,Research & Development,23,Master,Medical,75,Female,Laboratory Technician,Married,Yes,Y,3,0,1142,1,3,30,3,1,Low,4014,16002,3,15,3,3,80,1,4,3,2,2,2,2
31,30 - 39,No,Travel_Rarely,Research & Development,7,Master,Life Sciences,76,Male,Laboratory Technician,Divorced,No,Y,3,0,655,1,4,48,3,2,Very High,5915,9528,3,22,4,4,80,1,10,2,7,7,1,7
37,30 - 39,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,77,Male,Manufacturing Director,Divorced,No,Y,2,0,1115,1,1,51,2,2,High,5993,2689,1,18,3,3,80,1,7,4,7,5,0,7
32,30 - 39,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,78,Male,Manufacturing Director,Married,Yes,Y,3,0,427,1,1,33,3,2,Very High,6162,10877,1,22,4,2,80,1,9,3,9,8,7,8
38,30 - 39,No,Travel_Frequently,Research & Development,29,Doctor,Life Sciences,79,Female,Laboratory Technician,Single,No,Y,2,0,653,1,4,50,3,2,Very High,2406,5456,1,11,3,4,80,0,10,3,10,3,9,9
50,50 - 59,No,Travel_Rarely,Research & Development,7,College,Medical,80,Female,Research Director,Divorced,Yes,Y,2,0,989,1,2,43,2,5,High,18740,16701,5,12,3,4,80,1,29,2,27,3,13,8
59,50 - 59,No,Travel_Rarely,Sales,25,Bachelor,Life Sciences,81,Female,Sales Executive,Single,No,Y,3,0,1435,1,1,99,3,3,Low,7637,2354,7,11,3,4,80,0,28,2,21,16,7,9
36,30 - 39,No,Travel_Rarely,Research & Development,8,Bachelor,Technical Degree,83,Female,Healthcare Representative,Divorced,No,Y,2,0,1223,1,3,59,3,3,High,10096,8202,1,13,3,2,80,3,17,3,17,14,12,8
55,50 - 59,No,Travel_Rarely,Research & Development,8,Bachelor,Medical,84,Female,Manager,Divorced,Yes,Y,2,0,836,1,4,33,3,4,High,14756,19730,2,14,3,3,80,3,21,3,5,0,0,2
36,30 - 39,No,Travel_Frequently,Research & Development,11,Bachelor,Life Sciences,85,Male,Manufacturing Director,Single,No,Y,3,0,1195,1,2,95,2,2,Medium,6499,22656,1,13,3,3,80,0,6,3,6,5,0,3
45,40 - 49,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,86,Male,Research Scientist,Divorced,No,Y,2,0,1339,1,2,59,3,3,Low,9724,18787,2,17,3,3,80,1,25,3,1,0,0,0
35,30 - 39,No,Travel_Frequently,Research & Development,1,Bachelor,Medical,88,Male,Research Scientist,Married,No,Y,2,0,664,1,2,79,3,1,Low,2194,5868,4,13,3,4,80,1,5,2,3,2,1,2
36,30 - 39,Yes,Travel_Rarely,Research & Development,9,Bachelor,Medical,90,Male,Research Scientist,Married,Yes,Y,0,1,318,1,4,79,2,1,High,3388,21777,0,17,3,1,80,1,2,2,1,0,0,0
59,50 - 59,No,Travel_Frequently,Sales,1,Below College,Life Sciences,91,Female,Sales Executive,Single,No,Y,2,0,1225,1,1,57,2,2,High,5473,24668,7,11,3,4,80,0,20,2,4,3,1,3
29,18-29,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,94,Male,Research Scientist,Married,No,Y,3,0,1328,1,3,76,3,1,Medium,2703,4956,0,23,4,4,80,1,6,3,5,4,0,4
31,30 - 39,No,Travel_Rarely,Research & Development,1,Master,Medical,95,Male,Research Scientist,Single,No,Y,4,0,1082,1,3,87,3,1,Medium,2501,18775,1,17,3,2,80,0,1,3,1,1,1,0
32,30 - 39,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,96,Male,Research Scientist,Married,No,Y,3,0,548,1,2,66,3,2,Medium,6220,7346,1,17,3,2,80,2,10,3,10,4,0,9
36,30 - 39,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,97,Female,Laboratory Technician,Married,No,Y,3,0,132,1,2,55,4,1,Very High,3038,22002,3,12,3,2,80,0,5,3,1,0,0,0
31,30 - 39,No,Travel_Rarely,Research & Development,8,Master,Life Sciences,98,Female,Manufacturing Director,Single,No,Y,2,0,746,1,3,61,3,2,Very High,4424,20682,1,23,4,4,80,0,11,3,11,7,1,8
35,30 - 39,No,Travel_Rarely,Sales,1,Master,Marketing,100,Male,Sales Executive,Single,No,Y,2,0,776,1,3,32,2,2,Low,4312,23016,0,14,3,2,80,0,16,3,15,13,2,8
45,40 - 49,No,Travel_Rarely,Research & Development,6,Master,Other,101,Male,Research Director,Married,Yes,Y,3,0,193,1,4,52,3,3,Low,13245,15067,4,14,3,2,80,0,17,4,0,0,0,0
37,30 - 39,No,Travel_Rarely,Research & Development,7,Master,Medical,102,Male,Research Director,Single,No,Y,3,0,397,1,1,30,3,3,High,13664,25258,4,13,3,1,80,0,16,4,5,2,0,2
46,40 - 49,No,Travel_Rarely,Human Resources,5,College,Medical,103,Male,Human Resources,Divorced,Yes,Y,2,0,945,1,2,80,3,2,Medium,5021,10425,8,22,4,4,80,1,16,3,4,2,0,2
30,30 - 39,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,104,Male,Laboratory Technician,Married,Yes,Y,1,0,852,1,4,55,2,2,Very High,5126,15998,1,12,3,3,80,2,10,2,10,8,3,0
35,30 - 39,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,105,Male,Research Scientist,Single,No,Y,3,0,1214,1,2,30,2,1,High,2859,26278,1,18,3,1,80,0,6,3,6,4,0,4
55,50 - 59,No,Travel_Rarely,Sales,1,College,Life Sciences,106,Male,Sales Executive,Married,No,Y,4,0,111,1,1,70,3,3,Very High,10239,18092,3,14,3,4,80,1,24,3,1,0,1,0
38,30 - 39,No,Non-Travel,Research & Development,6,Bachelor,Medical,107,Female,Research Scientist,Divorced,Yes,Y,3,0,573,1,2,79,1,2,Very High,5329,15717,7,12,3,4,80,3,17,3,13,11,1,9
34,30 - 39,No,Travel_Rarely,Research & Development,1,College,Medical,110,Male,Manufacturing Director,Married,No,Y,2,0,1153,1,1,94,3,2,Medium,4325,17736,1,15,3,3,80,0,5,3,5,2,1,3
56,50 - 59,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,112,Male,Manufacturing Director,Single,No,Y,3,0,1400,1,4,49,1,3,Very High,7260,21698,4,11,3,1,80,0,37,2,6,4,0,2
23,18-29,No,Travel_Rarely,Sales,2,Below College,Technical Degree,113,Male,Sales Representative,Divorced,No,Y,3,0,541,1,3,62,3,1,Low,2322,9518,3,13,3,3,80,1,3,3,0,0,0,0
51,50 - 59,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,116,Male,Laboratory Technician,Married,No,Y,4,0,432,1,4,96,3,1,Very High,2075,18725,3,23,4,2,80,2,10,3,4,2,0,3
30,30 - 39,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,117,Male,Healthcare Representative,Married,No,Y,3,0,288,1,3,99,2,2,Very High,4152,15830,1,19,3,1,80,3,11,3,11,10,10,8
46,40 - 49,Yes,Travel_Rarely,Sales,9,College,Medical,118,Male,Sales Executive,Single,No,Y,3,1,669,1,3,64,2,3,Very High,9619,13596,1,16,3,4,80,0,9,3,9,8,4,7
40,40 - 49,No,Travel_Frequently,Research & Development,1,Master,Life Sciences,119,Male,Healthcare Representative,Married,No,Y,3,0,530,1,3,78,2,4,Medium,13503,14115,1,22,4,4,80,1,22,2,22,3,11,11
51,50 - 59,No,Travel_Rarely,Sales,21,Master,Marketing,120,Male,Sales Executive,Single,Yes,Y,2,0,632,1,3,71,3,2,Very High,5441,8423,0,22,4,4,80,0,11,1,10,7,1,0
30,30 - 39,No,Travel_Rarely,Sales,4,College,Medical,121,Female,Sales Executive,Divorced,Yes,Y,4,0,1334,1,3,63,2,2,Medium,5209,19760,1,12,3,2,80,3,11,2,11,8,2,7
46,40 - 49,No,Travel_Frequently,Research & Development,1,Bachelor,Medical,124,Male,Healthcare Representative,Married,Yes,Y,5,0,638,1,3,40,2,3,Low,10673,3142,2,13,3,3,80,1,21,2,10,9,9,5
32,30 - 39,No,Travel_Rarely,Sales,6,Master,Medical,125,Male,Sales Executive,Single,No,Y,0,0,1093,1,2,87,3,2,High,5010,24301,1,16,3,1,80,0,12,3,11,8,5,7
54,50 - 59,No,Travel_Rarely,Research & Development,2,Master,Technical Degree,126,Female,Research Director,Married,No,Y,5,0,1217,1,1,60,3,3,High,13549,24001,9,12,3,1,80,1,16,1,4,3,0,3
24,18-29,No,Travel_Rarely,Sales,3,College,Other,128,Female,Sales Executive,Married,No,Y,2,0,1353,1,1,33,3,2,High,4999,17519,0,21,4,1,80,1,4,2,3,2,0,2
28,18-29,No,Non-Travel,Sales,4,Bachelor,Medical,129,Male,Sales Executive,Married,No,Y,3,0,120,1,2,43,3,2,High,4221,8863,1,15,3,2,80,0,5,4,5,4,0,4
58,50 - 59,No,Travel_Rarely,Sales,10,Master,Medical,131,Male,Sales Executive,Single,No,Y,1,0,682,1,4,37,3,4,High,13872,24409,0,13,3,3,80,0,38,2,37,10,1,8
44,40 - 49,No,Non-Travel,Research & Development,23,Bachelor,Medical,132,Male,Laboratory Technician,Married,No,Y,3,0,489,1,2,67,3,2,Medium,2042,25043,4,12,3,3,80,1,17,4,3,2,1,2
37,30 - 39,Yes,Travel_Rarely,Human Resources,6,Master,Human Resources,133,Male,Human Resources,Divorced,Yes,Y,3,1,807,1,3,63,3,1,Low,2073,23648,4,22,4,4,80,0,7,3,3,2,0,2
32,30 - 39,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,134,Male,Research Scientist,Single,No,Y,2,0,827,1,4,71,3,1,Low,2956,15178,1,13,3,4,80,0,1,3,1,0,0,0
20,18-29,Yes,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,137,Female,Laboratory Technician,Single,Yes,Y,5,1,871,1,4,66,2,1,Very High,2926,19783,1,18,3,2,80,0,1,3,1,0,1,0
34,30 - 39,No,Travel_Rarely,Research & Development,6,Master,Other,138,Female,Research Scientist,Single,No,Y,3,0,665,1,1,41,3,2,High,4809,12482,1,14,3,3,80,0,16,3,16,13,2,10
37,30 - 39,No,Non-Travel,Research & Development,2,College,Life Sciences,139,Male,Healthcare Representative,Divorced,No,Y,2,0,1040,1,3,100,2,2,Very High,5163,15850,5,14,3,4,80,1,17,4,1,0,0,0
59,50 - 59,No,Non-Travel,Human Resources,2,Master,Human Resources,140,Female,Manager,Married,No,Y,3,0,1420,1,3,32,2,5,Very High,18844,21922,9,21,4,4,80,1,30,3,3,2,2,2
50,50 - 59,No,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,141,Female,Research Director,Married,Yes,Y,1,0,1115,1,1,73,3,5,Medium,18172,9755,3,19,3,1,80,0,28,2,8,3,0,7
25,18-29,Yes,Travel_Rarely,Sales,5,Bachelor,Marketing,142,Male,Sales Executive,Single,Yes,Y,1,1,240,1,3,46,2,2,High,5744,26959,1,11,3,4,80,0,6,3,6,4,0,3
25,18-29,No,Travel_Rarely,Research & Development,7,Below College,Medical,143,Male,Research Scientist,Married,No,Y,2,0,1280,1,4,64,2,1,Very High,2889,26897,1,11,3,3,80,2,2,3,2,2,2,1
22,18-29,No,Travel_Rarely,Research & Development,15,Bachelor,Medical,144,Female,Laboratory Technician,Single,No,Y,5,0,534,1,2,59,3,1,Very High,2871,23785,1,15,3,3,80,0,1,3,0,0,0,0
51,50 - 59,No,Travel_Frequently,Research & Development,1,Master,Medical,145,Female,Healthcare Representative,Single,No,Y,1,0,1456,1,1,30,2,3,Low,7484,25796,3,20,4,3,80,0,23,2,13,12,12,8
34,30 - 39,Yes,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,147,Male,Laboratory Technician,Single,Yes,Y,3,1,658,1,1,66,1,2,High,6074,22887,1,24,4,4,80,0,9,3,9,7,0,6
54,50 - 59,No,Non-Travel,Human Resources,26,Bachelor,Human Resources,148,Female,Manager,Single,Yes,Y,3,0,142,1,4,30,4,4,Very High,17328,13871,2,12,3,3,80,0,23,3,5,3,4,4
24,18-29,No,Travel_Rarely,Research & Development,18,Below College,Life Sciences,150,Male,Laboratory Technician,Married,No,Y,2,0,1127,1,2,52,3,1,High,2774,13257,0,12,3,3,80,1,6,3,5,3,1,2
34,30 - 39,No,Travel_Rarely,Research & Development,6,Master,Life Sciences,151,Female,Research Scientist,Divorced,No,Y,3,0,1031,1,3,45,2,2,Medium,4505,15000,6,15,3,3,80,1,12,3,1,0,0,0
37,30 - 39,No,Travel_Rarely,Sales,3,Bachelor,Life Sciences,152,Male,Sales Executive,Single,No,Y,3,0,1189,1,3,87,3,3,Very High,7428,14506,2,12,3,1,80,0,12,3,5,3,1,3
34,30 - 39,No,Travel_Rarely,Research & Development,5,Bachelor,Medical,153,Female,Manager,Single,No,Y,6,0,1354,1,3,45,2,3,Low,11631,5615,2,12,3,4,80,0,14,3,11,10,5,8
36,30 - 39,No,Travel_Frequently,Sales,11,College,Technical Degree,154,Female,Sales Executive,Married,No,Y,6,0,1467,1,2,92,3,3,Very High,9738,22952,0,14,3,3,80,1,10,3,9,7,2,8
36,30 - 39,No,Travel_Rarely,Research & Development,3,College,Life Sciences,155,Female,Laboratory Technician,Divorced,No,Y,2,0,922,1,1,39,3,1,Very High,2835,2561,5,22,4,1,80,1,7,3,1,0,0,0
43,40 - 49,No,Travel_Frequently,Sales,26,College,Life Sciences,158,Male,Manager,Married,Yes,Y,3,0,394,1,3,92,3,4,Very High,16959,19494,1,12,3,4,80,2,25,4,25,12,4,12
30,30 - 39,No,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,159,Male,Research Scientist,Divorced,No,Y,2,0,1312,1,1,96,1,1,High,2613,22310,1,25,4,3,80,3,10,2,10,7,0,9
33,30 - 39,No,Non-Travel,Sales,22,College,Marketing,160,Male,Sales Executive,Married,No,Y,2,0,750,1,3,95,3,2,Medium,6146,15480,0,13,3,1,80,1,8,4,7,7,0,7
56,50 - 59,Yes,Travel_Rarely,Research & Development,14,Master,Life Sciences,161,Female,Research Scientist,Married,Yes,Y,2,1,441,1,2,72,3,1,Medium,4963,4510,9,18,3,1,80,3,7,3,5,4,4,3
51,50 - 59,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,162,Male,Research Director,Single,No,Y,5,0,684,1,1,51,3,5,High,19537,6462,7,13,3,3,80,0,23,3,20,18,15,15
31,30 - 39,Yes,Travel_Rarely,Sales,6,Master,Life Sciences,163,Male,Sales Executive,Married,Yes,Y,3,1,249,1,2,76,1,2,High,6172,20739,4,18,3,2,80,0,12,2,7,7,7,7
26,18-29,No,Travel_Rarely,Research & Development,6,Bachelor,Other,164,Female,Research Scientist,Married,No,Y,3,0,841,1,3,46,2,1,Medium,2368,23300,1,19,3,3,80,0,5,2,5,4,4,3
